S.No,Name,Publisher,Architecture,ResourceId,Version,PackageFullName,InstallLocation,IsFramework,PackageFamilyName,PublisherId,PackageUserInformation,IsResourcePackage,IsBundle,IsDevelopmentMode,NonRemovable,IsPartiallyStaged,SignatureKind,Status,Dependencies
0,Microsoft.UI.Xaml.2.0,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,2.1810.18004.0,Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.UI.Xaml.2.0_2.1810.18004.0_x64__8wekyb3d8bbwe,TRUE,Microsoft.UI.Xaml.2.0_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
1,Microsoft.VCLibs.140.00,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,14.0.27323.0,Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.VCLibs.140.00_14.0.27323.0_x64__8wekyb3d8bbwe,TRUE,Microsoft.VCLibs.140.00_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
2,Microsoft.NET.Native.Framework.2.2,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,2.2.27405.0,Microsoft.NET.Native.Framework.2.2_2.2.27405.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.NET.Native.Framework.2.2_2.2.27405.0_x64__8wekyb3d8bbwe,TRUE,Microsoft.NET.Native.Framework.2.2_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-18 [S-1-5-18]: Staged},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
3,Microsoft.Advertising.Xaml,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,10.1808.3.0,Microsoft.Advertising.Xaml_10.1808.3.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.Advertising.Xaml_10.1808.3.0_x64__8wekyb3d8bbwe,TRUE,Microsoft.Advertising.Xaml_8wekyb3d8bbwe,8wekyb3d8bbwe,{S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]: Installed},FALSE,FALSE,FALSE,FALSE,FALSE,Store,Ok,
4,Microsoft.Wallet,"CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,2.4.18324.0,Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe,C:\Program Files\WindowsApps\Microsoft.Wallet_2.4.18324.0_x64__8wekyb3d8bbwe,FALSE,Microsoft.Wallet_8wekyb3d8bbwe,8wekyb3d8bbwe,"{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed, S-1-5-21-1428617228-3619789452-947911753-1001 [adnan]:  Installed}",FALSE,FALSE,FALSE,FALSE,FALSE,Store,DependencyIssue,"{Microsoft.VCLibs.140.00_14.0.33519.0_x64__8wekyb3d8bbwe, Microsoft.NET.Native.Framework.2.2_2.2.29512.0_x64__8wekyb3d8bbwe, Microsoft.NET.Native.Runtime.2.2_2.2.28604.0_x64__8wekyb3d8bbwe}"
5,Microsoft.Windows.CloudExperienceHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,10.0.19041.1266,Microsoft.Windows.CloudExperienceHost_10.0.19041.1266_neutral_neutral_cw5n1h2txyewy,C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,FALSE,Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
6,Microsoft.BioEnrollment,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,,10.0.19041.1023,Microsoft.BioEnrollment_10.0.19041.1023_neutral__cw5n1h2txyewy,C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy,FALSE,Microsoft.BioEnrollment_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
7,Microsoft.AAD.BrokerPlugin,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,1000.19041.1023.0,Microsoft.AAD.BrokerPlugin_1000.19041.1023.0_neutral_neutral_cw5n1h2txyewy,C:\Windows\SystemApps\Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,FALSE,Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
8,Microsoft.Windows.OOBENetworkConnectionFlow,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,,10.0.19041.1023,Microsoft.Windows.OOBENetworkConnectionFlow_10.0.19041.1023_neutral__cw5n1h2txyewy,C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,FALSE,Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
9,Microsoft.Windows.OOBENetworkCaptivePortal,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,,10.0.19041.1023,Microsoft.Windows.OOBENetworkCaptivePortal_10.0.19041.1023_neutral__cw5n1h2txyewy,C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy,FALSE,Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
10,MicrosoftWindows.UndockedDevKit,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,10.0.19041.1023,MicrosoftWindows.UndockedDevKit_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy,C:\Windows\SystemApps\MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy,FALSE,MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
11,Microsoft.Windows.StartMenuExperienceHost,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,10.0.19041.1023,Microsoft.Windows.StartMenuExperienceHost_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy,C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,FALSE,Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
12,Microsoft.Windows.ContentDeliveryManager,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",Neutral,neutral,10.0.19041.1023,Microsoft.Windows.ContentDeliveryManager_10.0.19041.1023_neutral_neutral_cw5n1h2txyewy,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,FALSE,Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,
13,MicrosoftWindows.Client.CBS,"CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",X64,,120.2212.3920.0,MicrosoftWindows.Client.CBS_120.2212.3920.0_x64__cw5n1h2txyewy,C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy,FALSE,MicrosoftWindows.Client.CBS_cw5n1h2txyewy,cw5n1h2txyewy,{S-1-5-21-1428617228-3619789452-947911753-1002 [S-1-5-21-1428617228-3619789452-947911753-1002]: Installed},FALSE,FALSE,FALSE,TRUE,FALSE,System,Ok,{Microsoft.VCLibs.140.00_14.0.30704.0_x64__8wekyb3d8bbwe}
